,Equal Weight  (Rolling 36m),Equal Weight  (Expanding),Min Volatility  (Rolling 36m),Min Volatility  (Expanding),Max Diversification  (Rolling 36m),Max Diversification  (Expanding)
2003-01-31,1.0064777102689162,1.0064777102689162,1.0058895117387,1.0058895117387,1.00653648543567,1.00653648543567
2003-02-28,1.0196322093465373,1.0196322093465373,1.0211702336793813,1.0217653510848363,1.0214793168497027,1.0219537331394997
2003-03-31,1.0086123866655576,1.0086123866655576,1.0220651872628268,1.0210129697610448,1.01886303744397,1.0178432853082955
2003-04-30,1.036044917682999,1.036044917682999,1.030376618320777,1.027106513126227,1.0316094664593418,1.0292495495654426
2003-05-31,1.0885650132702174,1.0885650132702174,1.0737662195117286,1.0707713065155855,1.076976919545009,1.0752145007244756
2003-06-30,1.09691462915831,1.09691462915831,1.094088446831403,1.087954118769206,1.094029835155042,1.089332189646069
2003-07-31,1.1032215127762282,1.1032215127762282,1.0628064564010486,1.0602029279280631,1.0720471069404602,1.071437349029257
2003-08-31,1.111678136994474,1.111678136994474,1.0449538045114777,1.0460309874889264,1.0601223676670541,1.0637396395466039
2003-09-30,1.123144323950746,1.123144323950746,1.060016981101642,1.0622514997909995,1.0731418390978378,1.07841192041334
2003-10-31,1.1564553048654558,1.1564553048654558,1.0769271082654446,1.0790387208843735,1.094309637534237,1.0997915015667685
2003-11-30,1.1717908257931617,1.1717908257931617,1.0865215287832088,1.0891751041588058,1.1032294088109786,1.1108333888966613
2003-12-31,1.2186264676205956,1.2186264676205956,1.1109938697731299,1.1152581629904685,1.1321956137478117,1.1425529544055384
2004-01-31,1.2470217662590843,1.2470217662590843,1.1330826043672872,1.1369346656012749,1.1543759012954824,1.1657149394204112
2004-02-29,1.2792255493358395,1.2792255493358395,1.1509137555398137,1.1578582975772034,1.1746458355698841,1.1899157427842382
2004-03-31,1.3104149844761706,1.3104149844761706,1.1809644829176453,1.1892697835034052,1.2030472249176778,1.2211093692876998
2004-04-30,1.237469343617588,1.237469343617588,1.1186508744693653,1.127365571912844,1.1434034453323039,1.157479074702
2004-05-31,1.261624238015112,1.261624238015112,1.1057405132267273,1.1183982500407683,1.1385671370186938,1.1588758951641698
2004-06-30,1.2653548970514832,1.2653548970514832,1.1071702973449218,1.1189924150747692,1.1401722386591473,1.1598342142319082
2004-07-31,1.2689997098346544,1.2689997098346544,1.1187333090916003,1.133580202856323,1.149314800442955,1.1710234519447915
2004-08-31,1.295175329529355,1.295175329529355,1.1341920729217525,1.1534355201612956,1.1651216509599591,1.1918049027950137
2004-09-30,1.3258768912614716,1.3258768912614716,1.1580652173035026,1.1784687666376976,1.1910776888286154,1.2191805218731868
2004-10-31,1.3550887010801567,1.3550887010801567,1.1693319578789267,1.1925501623705916,1.205979803178247,1.237773024000277
2004-11-30,1.378237328558709,1.378237328558709,1.176213515857495,1.1978752523047829,1.216703825943554,1.2481752837205669
2004-12-31,1.391536281196429,1.391536281196429,1.1778368109841286,1.1995344353404995,1.219829716784687,1.252272404390331
2005-01-31,1.3588666316688207,1.3588666316688207,1.1756425640539734,1.1927170472703517,1.2114087437212167,1.2382051686460847
2005-02-28,1.4014226184198715,1.4014226184198715,1.197561955385786,1.2158229843167798,1.2396143457156323,1.2681692221314933
2005-03-31,1.3944361223196824,1.3944361223196824,1.1794593402752558,1.1986157486907598,1.225734786455166,1.2551176417026173
